"메인 키","기관 코드","기관 명","전화번호","우편번호","행정 시","행정 구","행정 동"
"BE_LiST32-0026","1334779","Suyu 1(il) Police Box ","02-944-4803","01102","Seoul","Gangbuk-gu","Suyu1-dong"
"BE_LiST32-0027","1334784","Suyu 2(i) Police Box ","02-944-4804","01041","Seoul","Gangbuk-gu","Suyu2-dong"
"BE_LiST32-0028","1334783","Suyu 3(sam) Police Box ","02-944-4805","01052","Seoul","Gangbuk-gu","Suyu3-dong"
"BE_LiST32-0029","1334780","Insu Police Box","02-944-4806","01082","Seoul","Gangbuk-gu","Insu-dong"
"BE_LiST32-0030","1329716","Seoul Gangseo Police Station","182","07658","Seoul","Gangseo-gu","Hwagok6-dong"
"BE_LiST32-0031","1331477","Gayang Patrol Division","02-3665-9112","07589","Seoul","Gangseo-gu","Deungchon3-dong"
"BE_LiST32-0032","1332880","Gomdallae Patrol Division","02-2643-7994","07741","Seoul","Gangseo-gu","Hwagok4-dong"
"BE_LiST32-0033","1331475","Gonghang Patrol Division","02-2662-0372","07620","Seoul","Gangseo-gu","Banghwa2-dong"
"BE_LiST32-0034","1331476","Kkachisan Patrol Division ","02-2604-5053","07777","Seoul","Gangseo-gu","Hwagok1-dong"
"BE_LiST32-0035","1334801","Deungchon 2(i) Police Box ","02-2651-0330","07668","Seoul","Gangseo-gu","Deungchon2-dong"
"BE_LiST32-0036","1334802","Balsan Police Box","02-2662-0330","07641","Seoul","Gangseo-gu","Balsan1-dong"
"BE_LiST32-0037","1332881","Banghwa 3(sam) Police Box ","02-2663-1121","07512","Seoul","Gangseo-gu","Banghwa3-dong"
"BE_LiST32-0038","1334800","Yeomchang Police Box","02-3665-0660","07561","Seoul","Gangseo-gu","Yeomchang-dong"
"BE_LiST32-0039","1334803","Hwagok 3(sam) Police Box ","02-2604-2133","07709","Seoul","Gangseo-gu","Hwagok3-dong"
"BE_LiST32-0040","1335255","Hwagok Patrol Division","02-2604-0087","07658","Seoul","Gangseo-gu","Hwagok6-dong"
"BE_LiST32-0041","1329692","Seoul Gwanak Police Station","182","08833","Seoul","Gwanak-gu","Cheongnyong-dong"
"BE_LiST32-0042","1331471","Gwanaksan Patrol Division","02-870-0840","08813","Seoul","Gwanak-gu","Daehak-dong"
"BE_LiST32-0043","1331469","Nakseongdae Patrol Division","02-870-0820","08789","Seoul","Gwanak-gu","Nakseongdae-dong"
"BE_LiST32-0044","1334797","Nanu Police Box","02-870-0860","08861","Seoul","Gwanak-gu","Nanhyang-dong"
"BE_LiST32-0045","1332688","Namhyeon Police Box","02-870-0890","08807","Seoul","Gwanak-gu","Namhyeon-dong"
"BE_LiST32-0046","1331468","Danggok Patrol Division","02-870-0810","08756","Seoul","Gwanak-gu","Euncheon-dong"
"BE_LiST32-0047","1334798","Miseong Police Box","02-870-0870","08772","Seoul","Gwanak-gu","Miseong-dong"
"BE_LiST32-0048","1331472","Bongcheon Patrol Division","02-870-0850","08715","Seoul","Gwanak-gu","Euncheon-dong"
"BE_LiST32-0049","1331470","Sillim Patrol Division","02-870-0830","08779","Seoul","Gwanak-gu","Seowon-dong"
"BE_LiST32-0050","1334799","Sinsa Police Box","02-870-0880","08702","Seoul","Gwanak-gu","Sinsa-dong"
"BE_LiST32-0051","1332648","Seoul Gwangjin Police Station","182","04991","Seoul","Gwangjin-gu","Neung-dong"
"BE_LiST32-0052","1332657","Gwangnaru Patrol Division","02-457-0112","04983","Seoul","Gwangjin-gu","Gwangjang-dong"
"BE_LiST32-0053","1334776","Jayang 1 Police Box ","02-444-4112","05053","Seoul","Gwangjin-gu","Jayang1-dong"
"BE_LiST32-0054","1334241","Jayang 4 Police Box ","02-463-0113","05084","Seoul","Gwangjin-gu","Jayang4-dong"
"BE_LiST32-0055","1334775","Jayang Police Box ","02-447-1112","05091","Seoul","Gwangjin-gu","Jayang3-dong"
"BE_LiST32-0056","1335514","Junggok 1(il) Police Box ","02-447-0113","04909","Seoul","Gwangjin-gu","Junggok1-dong"
"BE_LiST32-0057","1334774","Junggok 2(i) Police Box ","02-444-8113","04927","Seoul","Gwangjin-gu","Junggok2-dong"
"BE_LiST32-0058","1335515","Junggok 3(sam) Police Box ","02-3409-0112","04905","Seoul","Gwangjin-gu","Junggok3-dong"
"BE_LiST32-0059","1334242","Junggok 4(sa) Police Box ","02-457-1112","04940","Seoul","Gwangjin-gu","Junggok4-dong"
"BE_LiST32-0060","1332878","Hwayang Patrol Division","02-469-1137","05010","Seoul","Gwangjin-gu","Hwayang-dong"
"BE_LiST32-0061","1329787","Seoul Guro Police Station","182","08284","Seoul","Guro-gu","Guro2-dong"
"BE_LiST32-0062","1334809","Garibong Police Box","02-854-0112","08395","Seoul","Guro-gu","Garibong-dong"
"BE_LiST32-0063","1331494","Gaebong Patrol Division","02-2612-0330","08353","Seoul","Guro-gu","Gaebong3-dong"
"BE_LiST32-0064","1331492","Gocheok Patrol Division","02-2612-0112","08240","Seoul","Guro-gu","Gocheok2-dong"
"BE_LiST32-0065","1334808","Guro 3 Police Box","02-866-0112","08371","Seoul","Guro-gu","Guro3-dong"
"BE_LiST32-0066","1331491","Guil Patrol Division","02-862-4008","08313","Seoul","Guro-gu","Guro4-dong"
"BE_LiST32-0067","1332366","Singuro Patrol Division","02-853-0189","08299","Seoul","Guro-gu","Guro5-dong"
"BE_LiST32-0068","1331490","Oryu Patrol Division","02-2612-6112","08267","Seoul","Guro-gu","Oryu1-dong"
"BE_LiST32-0069","1332675","Seoul Geumcheon Police Station","182","08766","Seoul","Gwanak-gu","Jowon-dong"
"BE_LiST32-0070","1334785","Gasan Police Box","02-864-0113","08512","Seoul","Geumcheon-gu","Gasan-dong"
"BE_LiST32-0071","1335591","Geumcheon Police Box","02-802-0113","08632","Seoul","Geumcheon-gu","Siheung1-dong"
"BE_LiST32-0072","1334786","Doksan Police Box","02-807-0113","08602","Seoul","Geumcheon-gu","Doksan1-dong"
"BE_LiST32-0073","1332683","Munseong Patrol Division","02-855-0112","08557","Seoul","Geumcheon-gu","Doksan4-dong"
